TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO
3750622,2025-02-03 00:00:20,1671,36326,23.78,8380820,97,0,0
3750623,2025-02-03 00:00:30,6498,16360,33.42,8380830,97,0,0
3750624,2025-02-03 00:00:32,11880,36327,17.92,8380832,97,0,0
3750625,2025-02-03 00:00:40,19371,21598,125.55,8380840,97,0,0
3750626,2025-02-03 00:00:58,11817,4222,97.28,8380858,97,0,0
3750627,2025-02-03 00:01:11,18093,26180,100.27,8380871,97,0,0
3750628,2025-02-03 00:01:16,13927,31898,21.09,8380876,97,0,0
3750629,2025-02-03 00:01:49,12546,28535,89.59,8380909,97,0,0
3750630,2025-02-03 00:02:02,13776,26552,66.12,8380922,97,0,0
3750631,2025-02-03 00:02:09,18229,39843,79.24,8380929,97,0,0
3750632,2025-02-03 00:02:44,19818,35666,112.32,8380964,97,0,0
3750633,2025-02-03 00:03:22,1605,7522,87.81,8381002,97,0,0
3750634,2025-02-03 00:03:38,6848,16891,27.79,8381018,97,0,0
3750635,2025-02-03 00:03:46,7072,24272,17.47,8381026,97,0,0
3750636,2025-02-03 00:03:56,11076,22525,29.31,8381036,97,0,0
3750637,2025-02-03 00:03:57,13493,30832,107.13,8381037,97,0,0
3750638,2025-02-03 00:04:00,17132,24592,42.39,8381040,97,0,0
3750639,2025-02-03 00:04:20,14066,34522,11.89,8381060,97,0,0
3750640,2025-02-03 00:04:59,811,20316,43.99,8381099,97,0,0
3750641,2025-02-03 00:05:02,14037,39203,44.99,8381102,97,0,0
3750642,2025-02-03 00:05:07,6710,37938,91.5,8381107,97,0,0
3750643,2025-02-03 00:05:09,1254,10159,39.72,8381109,97,0,0
3750644,2025-02-03 00:05:18,12206,20522,28.38,8381118,97,0,0
3750645,2025-02-03 00:06:15,11138,13693,115.54,8381175,97,0,0
3750646,2025-02-03 00:06:26,4202,7142,11.75,8381186,97,0,0
3750647,2025-02-03 00:06:28,6052,36502,134.99,8381188,97,0,0
3750648,2025-02-03 00:06:37,19348,17847,21.04,8381197,97,0,0
3750649,2025-02-03 00:06:48,15569,11431,38.19,8381208,97,0,0
3750650,2025-02-03 00:06:56,9191,24753,68.72,8381216,97,0,0
3750651,2025-02-03 00:07:16,1313,15719,4.44,8381236,97,0,0
3750652,2025-02-03 00:07:18,18559,23208,37.32,8381238,97,0,0
3750653,2025-02-03 00:08:32,7347,8457,82.88,8381312,97,0,0
3750654,2025-02-03 00:08:51,14148,27223,108.93,8381331,97,0,0
3750655,2025-02-03 00:09:07,9201,32360,54.94,8381347,97,0,0
3750656,2025-02-03 00:09:12,19170,16203,92.25,8381352,97,0,0
3750657,2025-02-03 00:09:17,554,6720,17.26,8381357,97,0,0
3750658,2025-02-03 00:09:21,12724,33155,28.64,8381361,97,0,0
3750659,2025-02-03 00:09:31,16127,37617,41.98,8381371,97,0,0
3750660,2025-02-03 00:09:33,10605,7749,11.88,8381373,97,0,0
3750661,2025-02-03 00:09:41,3133,29896,66.03,8381381,97,0,0
3750662,2025-02-03 00:09:49,8557,13392,60.41,8381389,97,0,0
3750663,2025-02-03 00:09:50,16353,21977,127.04,8381390,97,0,0
3750664,2025-02-03 00:09:57,9753,35758,82.26,8381397,97,0,0
3750665,2025-02-03 00:10:05,18880,8159,24.82,8381405,97,0,0
3750666,2025-02-03 00:10:17,14378,14141,29.07,8381417,97,0,0
3750667,2025-02-03 00:10:24,12564,11242,23.51,8381424,97,0,0
3750668,2025-02-03 00:10:37,16944,27186,42.18,8381437,97,0,0
3750669,2025-02-03 00:11:06,198,21328,165.87,8381466,97,0,0
3750670,2025-02-03 00:11:14,1657,33607,12.49,8381474,97,0,0
3750671,2025-02-03 00:11:18,4043,4327,1.29,8381478,97,0,0
3750672,2025-02-03 00:11:21,3336,6514,36.12,8381481,97,0,0
3750673,2025-02-03 00:11:23,8552,26768,96.08,8381483,97,0,0
3750674,2025-02-03 00:11:28,3204,2387,13.07,8381488,97,0,0
3750675,2025-02-03 00:11:32,7103,18603,2.99,8381492,97,0,0
