TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO
2437234,2024-12-31 00:00:16,8108,24930,123.09,5443216,63,0,0
2437235,2024-12-31 00:00:18,9152,34761,71.07,5443218,63,0,0
2437236,2024-12-31 00:00:27,19411,29471,9.92,5443227,63,0,0
2437237,2024-12-31 00:00:27,7198,38993,117.34,5443227,63,0,0
2437238,2024-12-31 00:00:36,15342,4855,5.89,5443236,63,0,0
2437239,2024-12-31 00:00:50,19891,35162,15.79,5443250,63,0,0
2437240,2024-12-31 00:01:02,17270,28942,18.09,5443262,63,0,0
2437241,2024-12-31 00:01:06,17754,5950,10.19,5443266,63,0,0
2437242,2024-12-31 00:01:24,14369,29561,129.58,5443284,63,0,0
2437243,2024-12-31 00:01:54,1398,29288,75.97,5443314,63,0,0
2437244,2024-12-31 00:02:06,4849,21249,94.04,5443326,63,0,0
2437245,2024-12-31 00:02:19,13325,20363,35.78,5443339,63,0,0
2437246,2024-12-31 00:02:19,11066,29415,66.16,5443339,63,0,0
2437247,2024-12-31 00:02:54,6596,12580,32.94,5443374,63,0,0
2437248,2024-12-31 00:03:08,6602,34860,60.93,5443388,63,0,0
2437249,2024-12-31 00:03:16,198,917,140.23,5443396,63,0,0
2437251,2024-12-31 00:03:17,11463,34628,3.66,5443397,63,0,0
2437250,2024-12-31 00:03:17,2612,23813,61.67,5443397,63,0,0
2437252,2024-12-31 00:03:27,8707,31795,125.02,5443407,63,0,0
2437253,2024-12-31 00:04:16,4140,10437,87.72,5443456,63,0,0
2437254,2024-12-31 00:04:24,9630,25191,23.74,5443464,63,0,0
2437255,2024-12-31 00:04:42,17405,27930,29.69,5443482,63,0,0
2437256,2024-12-31 00:04:45,3625,33376,39.14,5443485,63,0,0
2437257,2024-12-31 00:04:56,1382,2123,72.0,5443496,63,0,0
2437258,2024-12-31 00:05:06,18694,24547,44.23,5443506,63,0,0
2437259,2024-12-31 00:05:20,167,3106,77.43,5443520,63,0,0
2437260,2024-12-31 00:05:24,1250,8660,15.75,5443524,63,0,0
2437261,2024-12-31 00:05:31,609,29327,16.17,5443531,63,0,0
2437262,2024-12-31 00:05:33,10172,19103,53.21,5443533,63,0,0
2437263,2024-12-31 00:05:36,9271,2168,75.19,5443536,63,0,0
2437264,2024-12-31 00:06:03,3450,2054,131.1,5443563,63,0,0
2437265,2024-12-31 00:06:12,4760,23351,5.9,5443572,63,0,0
2437266,2024-12-31 00:06:17,12193,11275,80.81,5443577,63,0,0
2437267,2024-12-31 00:06:36,18381,7892,53.51,5443596,63,0,0
2437268,2024-12-31 00:06:47,4926,34242,163.4,5443607,63,0,0
2437269,2024-12-31 00:06:52,8475,18354,52.43,5443612,63,0,0
2437270,2024-12-31 00:06:55,18802,26111,23.97,5443615,63,0,0
2437271,2024-12-31 00:07:02,1368,27219,146.69,5443622,63,0,0
2437272,2024-12-31 00:07:22,18675,15675,50.94,5443642,63,0,0
2437273,2024-12-31 00:07:45,17004,35927,45.26,5443665,63,0,0
2437274,2024-12-31 00:07:52,14882,4310,19.24,5443672,63,0,0
2437275,2024-12-31 00:08:18,17053,8972,25.75,5443698,63,0,0
2437276,2024-12-31 00:08:20,5063,18399,74.94,5443700,63,0,0
2437277,2024-12-31 00:09:13,5160,30647,23.96,5443753,63,0,0
2437278,2024-12-31 00:09:33,7614,7748,43.95,5443773,63,0,0
2437279,2024-12-31 00:09:40,395,22022,108.52,5443780,63,0,0
2437280,2024-12-31 00:09:53,2808,33994,33.67,5443793,63,0,0
2437281,2024-12-31 00:10:07,1598,29780,144.81,5443807,63,0,0
2437282,2024-12-31 00:10:33,7584,881,52.84,5443833,63,0,0
2437283,2024-12-31 00:10:35,12421,13468,95.15,5443835,63,0,0
2437284,2024-12-31 00:10:44,1085,21654,38.27,5443844,63,0,0
2437285,2024-12-31 00:10:51,15283,12762,63.47,5443851,63,0,0
2437286,2024-12-31 00:11:10,18149,38490,35.04,5443870,63,0,0
2437287,2024-12-31 00:11:42,1153,16343,58.75,5443902,63,0,0
2437288,2024-12-31 00:11:48,12485,32973,112.92,5443908,63,0,0
2437289,2024-12-31 00:11:53,12157,19708,97.85,5443913,63,0,0
2437290,2024-12-31 00:11:57,17608,6315,14.67,5443917,63,0,0
2437291,2024-12-31 00:12:16,19941,14626,41.19,5443936,63,0,0
2437292,2024-12-31 00:12:43,17924,6166,16.7,5443963,63,0,0
2437293,2024-12-31 00:12:54,16289,19431,52.08,5443974,63,0,0
2437294,2024-12-31 00:13:03,12789,33913,32.99,5443983,63,0,0
2437295,2024-12-31 00:13:21,7602,16614,50.43,5444001,63,0,0
2437296,2024-12-31 00:13:31,14137,23013,20.43,5444011,63,0,0
2437297,2024-12-31 00:13:54,9556,15662,86.59,5444034,63,0,0
2437298,2024-12-31 00:13:56,9560,27743,91.75,5444036,63,0,0
2437299,2024-12-31 00:14:00,10775,10310,42.54,5444040,63,0,0
2437300,2024-12-31 00:14:01,19536,26136,76.2,5444041,63,0,0
2437301,2024-12-31 00:14:10,16347,23806,26.79,5444050,63,0,0
2437302,2024-12-31 00:14:32,5720,27874,78.48,5444072,63,0,0
2437303,2024-12-31 00:14:39,8636,33719,36.35,5444079,63,0,0
2437304,2024-12-31 00:15:15,14191,26141,47.4,5444115,63,0,0
2437305,2024-12-31 00:15:50,1885,30940,32.23,5444150,63,0,0
2437306,2024-12-31 00:16:15,11708,19265,51.12,5444175,63,0,0
2437307,2024-12-31 00:16:30,5609,1383,28.96,5444190,63,0,0
2437308,2024-12-31 00:16:41,17053,11769,11.78,5444201,63,0,0
2437309,2024-12-31 00:16:52,12946,5276,11.02,5444212,63,0,0
2437310,2024-12-31 00:16:59,3292,38186,153.88,5444219,63,0,0
2437311,2024-12-31 00:17:01,8548,31721,41.11,5444221,63,0,0
2437312,2024-12-31 00:17:24,13880,11950,129.57,5444244,63,0,0
2437313,2024-12-31 00:17:31,14163,3395,51.59,5444251,63,0,0
2437314,2024-12-31 00:17:34,5087,2159,26.87,5444254,63,0,0
2437315,2024-12-31 00:17:42,4360,27604,47.14,5444262,63,0,0
2437316,2024-12-31 00:17:44,16173,38804,21.77,5444264,63,0,0
2437317,2024-12-31 00:17:50,14821,16849,31.8,5444270,63,0,0
2437318,2024-12-31 00:18:25,5577,12474,88.5,5444305,63,0,0
2437319,2024-12-31 00:18:36,12823,39977,44.21,5444316,63,0,0
2437320,2024-12-31 00:18:40,17869,14487,9.07,5444320,63,0,0
2437321,2024-12-31 00:18:46,3231,21666,4.47,5444326,63,0,0
2437322,2024-12-31 00:18:49,1531,27788,19.57,5444329,63,0,0
2437323,2024-12-31 00:18:58,3627,27691,17.15,5444338,63,0,0
2437324,2024-12-31 00:19:06,7349,14823,21.48,5444346,63,0,0
2437325,2024-12-31 00:19:14,13577,13504,17.53,5444354,63,0,0
2437326,2024-12-31 00:19:43,11228,20373,2.89,5444383,63,0,0
2437327,2024-12-31 00:19:53,4408,14012,11.12,5444393,63,0,0
2437328,2024-12-31 00:19:53,375,29185,37.55,5444393,63,0,0
2437329,2024-12-31 00:20:18,18904,14332,19.94,5444418,63,0,0
2437330,2024-12-31 00:20:22,16961,33582,95.29,5444422,63,0,0
2437331,2024-12-31 00:20:24,10560,9378,25.08,5444424,63,0,0
