TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO
966672,2024-11-23 00:00:18,1551,9850,52.42,2160018,25,0,0
966673,2024-11-23 00:00:21,13307,2919,25.71,2160021,25,0,0
966674,2024-11-23 00:00:24,5378,28004,123.4,2160024,25,0,0
966675,2024-11-23 00:00:28,1456,30741,60.46,2160028,25,0,0
966676,2024-11-23 00:00:33,6475,15152,120.56,2160033,25,0,0
966677,2024-11-23 00:00:40,12674,33300,22.21,2160040,25,0,0
966678,2024-11-23 00:00:49,6258,31223,45.54,2160049,25,0,0
966679,2024-11-23 00:01:23,318,27254,36.22,2160083,25,0,0
966680,2024-11-23 00:01:30,12142,2581,56.41,2160090,25,0,0
966681,2024-11-23 00:01:33,13722,14493,15.19,2160093,25,0,0
966682,2024-11-23 00:01:34,10387,26916,94.35,2160094,25,0,0
966683,2024-11-23 00:01:47,13582,302,47.97,2160107,25,0,0
966684,2024-11-23 00:01:54,3377,5967,62.16,2160114,25,0,0
966685,2024-11-23 00:02:06,18169,20512,113.92,2160126,25,0,0
966686,2024-11-23 00:02:27,16710,5146,132.43,2160147,25,0,0
966687,2024-11-23 00:02:59,447,34683,85.77,2160179,25,0,0
966688,2024-11-23 00:03:02,9826,4064,15.51,2160182,25,0,0
966689,2024-11-23 00:03:03,11474,2179,26.05,2160183,25,0,0
966690,2024-11-23 00:03:10,1029,35205,47.62,2160190,25,0,0
966691,2024-11-23 00:03:44,17156,12153,7.53,2160224,25,0,0
966692,2024-11-23 00:03:56,4990,27602,103.94,2160236,25,0,0
966693,2024-11-23 00:04:18,17946,3661,25.09,2160258,25,0,0
966694,2024-11-23 00:04:21,8654,15406,30.53,2160261,25,0,0
966695,2024-11-23 00:04:23,2564,23443,5.14,2160263,25,0,0
966696,2024-11-23 00:04:35,11271,18556,53.17,2160275,25,0,0
966697,2024-11-23 00:04:54,339,465,71.1,2160294,25,0,0
966698,2024-11-23 00:05:17,3519,20242,37.28,2160317,25,0,0
966699,2024-11-23 00:05:19,14317,2879,44.15,2160319,25,0,0
966700,2024-11-23 00:05:32,6170,6146,36.36,2160332,25,0,0
966701,2024-11-23 00:05:33,13837,17612,50.31,2160333,25,0,0
966702,2024-11-23 00:05:49,5203,17262,89.92,2160349,25,0,0
